序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,S09原点信号_1,BOOL,,OFF,保持,公有,加液工位-PLC TO PC：安全位1，机器人 TIP 盒取放,R10800.0,
2,S09原点信号_2,BOOL,,OFF,保持,公有,加液工位-PLC TO PC：安全位2，机器人液体试剂 1/2/3 取放,R10800.1,
3,S09原点信号_3,BOOL,,OFF,保持,公有,加液工位-PLC TO PC：安全位3，机器人液体试剂 4/5 取放,R10800.2,
4,S09原点信号_4,BOOL,,OFF,保持,公有,加液工位-PLC TO PC：安全位4，机器人烧杯取放,R10800.3,
5,S09允许加工,BOOL,,OFF,不保持,私有,加液工位-PLC TO PC,
6,S09工艺选择,INT,,0,保持,公有,加液工位-PC TO PLC,R10801,
7,S09参数写入完成,BOOL,,OFF,保持,私有,加液工位-PC TO PLC,
8,S09工艺完成,INT,,0,保持,公有,加液工位-PLC TO PC,R10802,
9,S09TIP盒工位编号,INT,,0,保持,公有,加液工位-PC TO PLC,R10804,
10,S09TIP编号,INT,,0,保持,公有,加液工位-PC TO PLC,R10805,
11,S09液体瓶编号,INT,,0,保持,公有,加液工位-PC TO PLC,R10806,
12,S09抽液量,INT,,0,保持,公有,加液工位-PC TO PLC,R10807,
13,S09放液量,INT,,0,保持,公有,加液工位-PC TO PLC,R10808,
14,S09天平读数稳定,BOOL,,OFF,不保持,私有,加液工位-PLC TO PC,
15,S09天平读数,REAL,,0.000000,保持,公有,加液工位-PLC TO PC,R10810,
16,S09液体瓶1剩余液量,REAL,,0.000000,保持,公有,加液工位-PC TO PLC,R10812,
17,S09液体瓶2剩余液量,REAL,,0.000000,保持,公有,加液工位-PC TO PLC,R10814,
18,S09液体瓶3剩余液量,REAL,,0.000000,保持,公有,加液工位-PC TO PLC,R10816,
19,S09液体瓶4剩余液量,REAL,,0.000000,保持,公有,加液工位-PC TO PLC,R10818,
20,S09液体瓶5剩余液量,REAL,,0.000000,保持,公有,加液工位-PC TO PLC,R10820,
21,工站状态[8],INT,,0,,公有,S09状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中,R10838,
22,PLC_R任务号,INT,,0,保持,公有,机器人任务号,
23,S09取放料产品,INT,,0,保持,公有,PC-PLC,
24,S09取放料编号,INT,,0,保持,公有,PC-PLC,
