Name,EnglishName,NodeType,DataType,NodeLanguage,NodeId
机械臂空闲_1,Robotic_Arm_Idle_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂空闲_1
机械臂故障_1,Robotic_Arm_Fault_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂故障_1
机械臂复位_1,Robotic_Arm_Reset_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂复位_1
机械臂初始化_1,Robotic_Arm_Initialize_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂初始化_1
机械臂初始化完成_1,Robotic_Arm_Initialize_Complete_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂初始化完成_1
机械臂空闲_2,Robotic_Arm_Idle_2,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂空闲_2
机械臂故障_2,Robotic_Arm_Fault_2,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂故障_2
机械臂复位_2,Robotic_Arm_Reset_2,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂复位_2
机械臂初始化_2,Robotic_Arm_Initialize_2,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂初始化_2
机械臂初始化完成_2,Robotic_Arm_Initialize_Complete_2,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂初始化完成_2
机械臂空闲_3,Robotic_Arm_Idle_3,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂空闲_3
机械臂故障_3,Robotic_Arm_Fault_3,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂故障_3
机械臂复位_3,Robotic_Arm_Reset_3,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂复位_3
机械臂初始化_3,Robotic_Arm_Initialize_3,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂初始化_3
机械臂初始化完成_3,Robotic_Arm_Initialize_Complete_3,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂初始化完成_3
开罐初始化,Open_Lid_Initialize,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|开罐初始化
开罐初始化完成,Open_Lid_Initialize_Complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|开罐初始化完成
加珠初始化,Add_Bead_Initialize,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|加珠初始化
加珠初始化完成,Add_Bead_Initialize_Complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|加珠初始化完成
加样初始化,Add_Sample_Initialize,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|加样初始化
加样初始化完成,Add_Sample_Initialize_Complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|加样初始化完成
研磨初始化,Ball_Mill_Initialize,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|研磨初始化
研磨初始化完成,Ball_Mill_Initialize_Complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|研磨初始化完成
过筛初始化,Sieve_Initialize,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|过筛初始化
过筛初始化完成,Sieve_Initialize_Complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|过筛初始化完成
刮粉初始化,Scrape_Powder_Initialize,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|刮粉初始化
刮粉初始化完成,Scrape_Powder_Initialize_Complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|刮粉初始化完成
马弗炉初始化_1,Muffle_Furnace_Initialize_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉初始化_1
马弗炉初始化_2,Muffle_Furnace_Initialize_2,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉初始化_2
马弗炉初始化_3,Muffle_Furnace_Initialize_3,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉初始化_3
马弗炉初始化_4,Muffle_Furnace_Initialize_4,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉初始化_4
马弗炉初始化_5,Muffle_Furnace_Initialize_5,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉初始化_5
马弗炉初始化_6,Muffle_Furnace_Initialize_6,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉初始化_6
马弗炉初始化完成_1,Muffle_Furnace_Initialize_Complete_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉初始化完成_1
马弗炉初始化完成_2,Muffle_Furnace_Initialize_Complete_2,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉初始化完成_2
马弗炉初始化完成_3,Muffle_Furnace_Initialize_Complete_3,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉初始化完成_3
马弗炉初始化完成_4,Muffle_Furnace_Initialize_Complete_4,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉初始化完成_4
马弗炉初始化完成_5,Muffle_Furnace_Initialize_Complete_5,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉初始化完成_5
马弗炉初始化完成_6,Muffle_Furnace_Initialize_Complete_6,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉初始化完成_6
